[50] conf=0.1090 f0=194.19 | hasValid=0
[100] conf=0.1090 f0=194.19 | hasValid=0
[150] conf=0.1090 f0=194.19 | hasValid=0
[200] conf=0.1090 f0=194.19 | hasValid=0
[250] conf=0.1090 f0=194.19 | hasValid=0
[300] conf=0.1090 f0=194.19 | hasValid=0
[350] conf=0.1090 f0=194.19 | hasValid=0
[50] conf=0.1090 f0=194.19 | hasValid=0
[100] conf=0.1090 f0=194.19 | hasValid=0
[150] conf=0.1090 f0=194.19 | hasValid=0
[200] conf=0.1090 f0=194.19 | hasValid=0
[250] conf=0.1090 f0=194.19 | hasValid=0
[300] conf=0.1090 f0=194.19 | hasValid=0
[350] conf=0.1090 f0=194.19 | hasValid=0
[400] conf=0.1090 f0=194.19 | hasValid=0
[450] conf=0.1090 f0=194.19 | hasValid=0
[500] conf=0.1090 f0=194.19 | hasValid=0
[50] conf=0.1090 f0=194.19 | hasValid=0
[100] conf=0.1090 f0=194.19 | hasValid=0
[150] conf=0.1090 f0=194.19 | hasValid=0
[200] conf=0.1090 f0=194.19 | hasValid=0
[250] conf=0.1090 f0=194.19 | hasValid=0
[300] conf=0.0557 f0=114.32 | hasValid=0
[350] conf=0.0648 f0=138.81 | hasValid=0
[400] conf=0.0678 f0=352.62 | hasValid=0
[450] conf=0.2086 f0=329.63 | hasValid=1
[500] conf=0.4830 f0=341.38 | hasValid=1
[50] conf=0.0882 f0=128.32 | hasValid=0
[100] conf=0.0707 f0=118.81 | hasValid=0
[150] conf=0.0700 f0=70.64 | hasValid=0
[200] conf=0.0804 f0=96.13 | hasValid=0
[250] conf=0.0939 f0=84.01 | hasValid=0
[300] conf=0.0752 f0=251.98 | hasValid=0
[350] conf=0.0600 f0=55.00 | hasValid=1
[400] conf=0.0602 f0=110.00 | hasValid=1
[450] conf=0.9968 f0=99.90 | hasValid=1
[500] conf=0.0690 f0=135.95 | hasValid=1
[50] conf=0.0301 f0=99.83 | hasValid=0
[100] conf=0.0292 f0=112.14 | hasValid=0
[150] conf=0.0295 f0=98.00 | hasValid=0
[200] conf=0.0302 f0=89.00 | hasValid=0
[250] conf=0.0710 f0=123.47 | hasValid=0
[300] conf=0.0740 f0=125.90 | hasValid=0
[350] conf=0.0705 f0=146.83 | hasValid=0
[400] conf=0.0665 f0=138.59 | hasValid=1
[450] conf=0.0782 f0=89.29 | hasValid=1
[500] conf=0.0373 f0=199.81 | hasValid=1
[50] conf=0.0488 f0=98.00 | hasValid=0
[100] conf=0.0441 f0=125.89 | hasValid=0
[150] conf=0.0486 f0=125.87 | hasValid=0
[200] conf=0.0181 f0=183.89 | hasValid=0
[250] conf=0.0199 f0=192.26 | hasValid=0
[300] conf=0.0437 f0=118.81 | hasValid=0
[350] conf=0.0872 f0=174.70 | hasValid=0
[400] conf=0.0387 f0=377.19 | hasValid=0
[450] conf=0.9602 f0=61.74 | hasValid=1
[500] conf=1.0000 f0=144.03 | hasValid=1
[50] conf=0.1147 f0=500.18 | hasValid=0
[100] conf=0.0805 f0=503.48 | hasValid=0
[150] conf=0.1184 f0=99.90 | hasValid=0
[200] conf=0.0694 f0=118.84 | hasValid=0
[250] conf=0.0289 f0=60.56 | hasValid=0
[300] conf=0.0762 f0=137.11 | hasValid=0
[350] conf=0.0768 f0=188.59 | hasValid=0
[400] conf=0.0489 f0=128.32 | hasValid=0
[450] conf=0.0298 f0=112.14 | hasValid=0
[500] conf=1.0000 f0=261.63 | hasValid=1
[50] conf=0.0200 f0=73.42 | hasValid=0
[100] conf=0.0426 f0=121.12 | hasValid=0
[150] conf=0.0149 f0=99.90 | hasValid=0
[200] conf=0.0228 f0=125.87 | hasValid=0
[250] conf=0.0185 f0=149.68 | hasValid=0
[300] conf=0.0170 f0=181.47 | hasValid=0
[350] conf=0.0222 f0=181.68 | hasValid=0
[400] conf=0.0189 f0=181.47 | hasValid=0
[450] conf=0.0206 f0=181.47 | hasValid=0
[500] conf=0.0214 f0=192.26 | hasValid=0
[50] conf=0.0648 f0=103.06 | hasValid=0
[100] conf=0.9728 f0=96.13 | hasValid=1
[150] conf=0.9998 f0=94.30 | hasValid=1
[200] conf=0.5671 f0=144.03 | hasValid=1
[250] conf=0.9996 f0=110.00 | hasValid=1
[300] conf=0.8396 f0=164.81 | hasValid=1
[350] conf=0.2522 f0=226.31 | hasValid=1
[400] conf=0.1189 f0=246.61 | hasValid=1
[450] conf=0.0711 f0=135.94 | hasValid=1
[500] conf=0.0755 f0=138.59 | hasValid=1
[50] conf=0.0368 f0=92.50 | hasValid=0
[100] conf=0.0411 f0=92.50 | hasValid=0
[150] conf=0.0458 f0=99.90 | hasValid=0
[200] conf=0.0323 f0=184.99 | hasValid=0
[250] conf=0.0233 f0=197.10 | hasValid=0
[300] conf=0.0288 f0=185.00 | hasValid=0
[350] conf=0.0276 f0=196.02 | hasValid=0
[400] conf=0.0658 f0=116.55 | hasValid=0
[450] conf=0.0287 f0=123.59 | hasValid=0
[500] conf=0.0548 f0=152.60 | hasValid=0
[50] conf=0.0366 f0=99.90 | hasValid=0
[100] conf=0.0661 f0=84.01 | hasValid=0
[150] conf=0.0364 f0=130.81 | hasValid=0
[200] conf=0.0662 f0=128.32 | hasValid=0
[250] conf=0.0447 f0=188.70 | hasValid=0
[300] conf=0.7453 f0=138.59 | hasValid=1
[350] conf=0.0642 f0=121.12 | hasValid=1
[400] conf=0.0472 f0=113.86 | hasValid=1
[450] conf=0.0408 f0=329.63 | hasValid=1
[500] conf=0.8444 f0=141.29 | hasValid=1
[50] conf=0.0470 f0=149.69 | hasValid=0
[100] conf=0.0339 f0=144.03 | hasValid=0
[150] conf=0.0349 f0=141.29 | hasValid=0
[200] conf=0.0413 f0=282.57 | hasValid=0
[250] conf=0.0379 f0=246.94 | hasValid=0
[300] conf=0.0170 f0=144.03 | hasValid=0
[350] conf=0.0209 f0=144.03 | hasValid=0
[400] conf=0.0248 f0=277.18 | hasValid=0
[450] conf=0.1808 f0=133.36 | hasValid=1
[500] conf=1.0000 f0=215.84 | hasValid=1
